,,pr
1,False,25.160721040617773
1,True,147.3106309205832
2,False,3.3712310991575123
2,True,425.7566276646685
3,False,10.298232856069944
3,True,187.39033288366045
4,False,117.38471012722584
4,True,190.63326850446174
5,False,19.47664587755753
5,True,440.37831086752703
6,False,65.45975178032677
6,True,278.14136061351746
7,False,27.396827096981724
7,True,326.2732087459881
8,False,46.27595358689405
8,True,385.864764161488
9,False,33.83441102891993
9,True,124.9304410230252
10,False,25.991954238372728
10,True,447.12528623786056
11,False,90.81402350124677
11,True,223.43973091046792
12,False,46.44393060530092
12,True,858.7125899910461
13,False,37.61645211184259
13,True,652.1427244995721
14,False,32.95193117292001
14,True,542.9787535511423
15,False,56.133712224993815
15,True,215.37982797726727
16,False,64.7699074918819
16,True,614.0549160714727
17,False,1.1072654594045162
17,True,208.0286667776818
18,False,35.5962817973932
18,True,247.58637407940114
19,False,7.358375471108047
19,True,314.15780897950754
20,False,21.456375140564887
20,True,699.4930680259131
21,False,33.901111862371636
21,True,391.95881243795156
22,False,43.314351008996255
22,True,390.43154997343663
23,False,45.43703170138542
23,True,491.22944254777394
24,False,51.893139120784326
24,True,367.45781510544475
25,False,12.72996880802566
25,True,431.61302634034655
26,False,4.451229096315501
26,True,436.77649251767434
27,False,26.82498134522575
27,True,341.11071930237813
28,False,19.498668887763415
28,True,396.09362572955433
29,False,28.16897921289865
29,True,560.2528179413639
30,False,17.217537241640457
30,True,386.9229365926003
31,False,34.738667682040614
31,True,210.24127082055202
32,False,16.91609155154765
32,True,326.15978393514524
33,False,16.724811633179115
33,True,318.371951032168
34,False,26.793976197950542
34,True,285.79864048952004
35,False,65.8931971443053
35,True,402.8515280893771
36,False,77.50510234296826
36,True,386.53120305680204
37,False,44.10063853519546
37,True,336.31557158514624
38,False,5.911735666808227
38,True,430.08249459962826
39,False,24.898239282765644
39,True,350.69188552806736
40,False,81.86072857347426
40,True,401.5398890231154
41,False,15.209922678752719
41,True,311.9219647611317
42,False,18.46209670292751
42,True,570.980511023663
43,False,16.524482817294484
43,True,368.3094453786907
44,False,31.784789714623685
44,True,505.6337069487199
45,False,25.894100322784652
45,True,277.0192015799694
46,False,16.322440694102625
46,True,289.71759806008777
47,False,31.293774096366178
47,True,226.9854705169564
48,False,9.768363817465797
48,True,367.88054351782193
49,False,22.724281248656553
49,True,593.4634181438014
50,False,54.76635671602139
50,True,411.92131022471585
51,False,81.85122560098534
51,True,266.1688455264084
52,False,6.36391056004868
52,True,169.62986519210972
53,False,23.968948835727133
53,True,173.43215307973878
54,False,53.154750005563756
54,True,197.1577844778949
55,False,20.21185252455666
55,True,259.65204545500455
56,False,19.15515935150438
56,True,207.11169742135098
57,False,21.130187435494463
57,True,240.15749574755318
58,False,8.177185199940595
58,True,151.82745496786083
59,False,53.76401600482836
59,True,279.346979042748
60,False,50.97639555401656
60,True,632.3793244489934
61,False,27.28355737656898
61,True,169.8009586034459
62,False,27.014351410889503
62,True,346.6985553764971
63,False,48.12818944109836
63,True,400.40866692579584
64,False,52.84564594085168
64,True,424.2244887398556
65,False,38.18519525092938
65,True,129.60897783050314
66,False,24.222362244972828
66,True,243.60229690064443
67,False,46.900672165202195
67,True,377.98508935884456
68,False,50.12488579815226
68,True,569.6505695348606
69,False,20.3856812824597
69,True,560.2327517437516
70,False,58.53111954730821
70,True,297.0919456027332
71,False,2.4155730767574823
71,True,225.3664632240543
72,False,7.79185880443265
72,True,234.2761607200373
73,False,41.24931500105049
73,True,548.9331229339768
74,False,35.260685046978324
74,True,467.2084870253457
75,False,14.215682426129206
75,True,486.5260898717679
76,False,34.82254027004501
76,True,226.6468859743327
77,False,34.32068551987868
77,True,396.4510163554223
78,False,17.05150623870395
78,True,525.9579416597262
79,False,67.84343226440228
79,True,564.6379826241173
80,False,84.03758387539142
80,True,512.0215468952665
81,False,15.966724363624962
81,True,340.4520262432925
82,False,48.65967523433028
82,True,373.92950897992705
83,False,45.68241844299337
83,True,210.31887545032077
84,False,57.4884829290113
84,True,570.5672112897446
85,False,30.16738438682296
85,True,339.3598004069645
86,False,35.73298326251688
86,True,375.3887546772603
87,False,25.286743086383012
87,True,250.63990956405178
88,False,19.39915061013835
88,True,237.54215586013743
89,False,31.135440806565384
89,True,217.3592612532957
90,False,75.25679396517262
90,True,420.3196794125688
91,False,109.68234183924324
91,True,277.29300354549196
92,False,89.45128550471395
92,True,450.0804352835985
93,False,37.229346667976415
93,True,416.8531175062526
94,False,34.608264860929694
94,True,327.0189518312691
95,False,124.40183439557586
95,True,262.65114289490157
96,False,47.40735168852552
96,True,684.6536938188365
97,False,62.6115487725599
97,True,477.5183296093019
98,False,27.00525688152311
98,True,369.3785473384196
99,False,12.616580938538391
99,True,365.89318835613085
100,False,9.68608842096046
100,True,304.28159841976594
101,False,8.800468159137154
101,True,590.2405677174102
102,False,61.66224966145819
102,True,206.0023157086107
103,False,43.909549764583744
103,True,474.5848893162474
104,False,61.64192301421281
104,True,320.1681226375513
105,False,20.741672337180717
105,True,549.3962648848537
106,False,82.49604488810292
106,True,534.8988200123131
107,False,43.12951650952073
107,True,550.8178242947906
108,False,22.009578687766407
108,True,560.6197024870198
109,False,12.804561597545217
109,True,223.21275053109275
110,False,16.67687179550512
110,True,326.17827803478576
111,False,29.991806315547365
111,True,811.9556635210756
112,False,8.139888771108872
112,True,188.44234228308778
113,False,16.313083400359574
113,True,409.23610601121254
114,False,10.77078990574023
114,True,527.345546120705
115,False,39.774822510474905
115,True,307.8771094791591
116,False,65.0215901293393
116,True,348.05669062770903
117,False,56.376109088944304
117,True,351.5977551065589
118,False,56.34799205655554
118,True,385.7558824092848
119,False,16.299171778450727
119,True,155.75255754083628
120,False,54.96222314181978
120,True,124.35711411162629
121,False,45.46025448070736
121,True,402.35732851797366
122,False,16.973583256640268
122,True,642.5243856268935
123,False,27.246181956536475
123,True,563.4956009591406
124,False,34.51351886279781
124,True,290.0484983685601
125,False,25.336464377863877
125,True,389.7431198929553
