,pr
2088,541.2991329969373
2089,477.1547653384914
2090,553.8113597984193
2091,511.2932340496627
2092,355.24179710046155
2093,541.1465033335844
2094,377.9289126257936
2095,494.0282672003377
2096,679.3361339674448
2097,380.0043797287799
2098,461.6667534093722
2099,257.5186097219557
2100,550.1981840352528
2101,567.0164511262556
2102,432.521650425042
2103,422.7446497672645
2104,372.00398980930913
2105,441.05313888721867
2106,400.39967597913346
2107,370.8548637408967
2108,460.3500592696946
2109,355.9575102364761
2110,429.35297955336864
2111,478.8796692293545
2112,668.5951870138524
2113,452.88247721182415
2114,384.6617560091545
2115,545.2679280671873
2116,543.9320403449528
2117,628.4323566404055
2118,379.0511144659831
2119,366.4644641094128
2120,354.9043988852645
2121,396.17729464007425
2122,491.6754967882298
2123,420.8679495379329
2124,579.1701177906361
2125,485.0776087580016
2126,546.1873344946071
2127,594.9674029106973
2128,577.5465122511378
2129,425.9009520537802
2130,469.2858826863812
2131,371.5268183623266
2132,330.6822194979759
2133,475.05077783425804
2134,396.07199922102154
2135,630.6059747752442
2136,404.43866095592966
2137,523.099244817422
2138,523.7222962299711
2139,297.91303792444523
2140,537.0129430055385
2141,417.3806509767019
2142,506.52942466404056
2143,508.37339321442414
2144,521.7947060940787
2145,346.0209526849212
2146,387.2439641258097
2147,361.6890969060478
2148,377.16652003582567
2149,561.645371618215
2150,596.4920047037594
2151,495.6710738464608
2152,450.5288214350003
2153,365.328641992528
2154,491.6569896246074
2155,425.9579272023984
2156,661.8706236018625
2157,435.9658679815766
2158,333.7186260494491
2159,531.9257559254766
2160,532.091587636387
2161,430.76747150626034
2162,281.6803020381485
2163,488.3824454343994
2164,576.8859410629375
2165,497.5226060101704
2166,743.9182403963059
2167,446.75105875212466
2168,627.7217427596042
2169,688.89021785144
2170,499.1327507959795
2171,516.4279152850213
2172,398.26723932637833
2173,352.7727223401598
2174,534.9811291882361
2175,484.8301668433123
2176,585.0863236308214
2177,460.97548830730375
2178,514.6087743705721
2179,593.5012609828846
2180,490.45312530506635
2181,548.9937202066358
2182,447.42986258352175
2183,305.52663247362943
2184,357.67065104300855
2185,566.0811562644085
2186,524.1692900162889
2187,612.3632837065088
2188,629.7672766653704
2189,548.0822564248228
2190,360.506357732811
2191,558.1910894128669
2192,528.6110987100983
2193,353.63221288716886
2194,629.2021152141388
2195,343.52054894407047
2196,610.5962653295137
2197,583.9509729616111
2198,575.3811306523858
2199,362.1194746432593
2200,466.5792413405143
2201,607.6973684932454
2202,534.9219288997119
2203,547.7569224924082
2204,313.10747487368644
2205,435.34258782165125
2206,325.2712233173952
2207,353.22128132902435
2208,550.3752469987376
2209,564.3514227864216
2210,435.35500109937857
2211,369.1451060047257
2212,432.53586120845284
2213,452.69405412400374
2214,520.765602333995
2215,529.9332248730934
2216,372.3057725059334
2217,392.6441050018184
2218,368.38788294044207
2219,499.61386129871244
2220,438.65726837539114
2221,541.3807159726275
2222,448.4453298842709
2223,442.1347330782737
2224,683.676309636212
2225,348.5478248388972
2226,434.5378573809285
2227,479.61305683274986
2228,589.1658659849782
2229,552.8256677091122
2230,369.79316948127234
2231,453.17869679347496
2232,449.92490954173263
2233,463.6378634997527
2234,376.6066736803623
2235,606.6754330677213
2236,682.7726940071443
2237,431.7563561577117
2238,454.10344943447853
2239,492.1173153910786
2240,518.7252446332423
2241,470.5573754683428
2242,471.4731356500124
2243,388.1476946786279
2244,561.0064542648615
2245,320.28369100225973
2246,538.9151836337987
2247,519.3664962549519
2248,439.6389208457549
2249,416.5501442977984
2250,386.8859870155575
2251,372.49481897160877
2252,410.1016130302014
2253,480.46416074539593
2254,382.8066360732919
2255,342.83347499331285
2256,608.3105164252629
2257,495.6724552102969
2258,488.3637128630653
2259,518.327793100616
2260,514.4096438663837
2261,499.539747738163
2262,557.6460721895273
2263,564.3615931257955
2264,696.9280759978574
2265,487.39289560035104
2266,483.9503799172235
2267,467.3635263548931
2268,448.77528052966227
2269,452.5112327930401
2270,488.8158782967366
2271,495.2656169611146
2272,468.2223220355809
2273,542.810087565158
2274,460.69939372100635
2275,442.67662977799773
2276,554.2154331196798
2277,459.198194941564
2278,376.0510849650018
2279,617.8292162294383
2280,330.34952058369527
2281,488.8552079544752
2282,416.5788481841446
2283,618.124580483709
2284,466.70640268275747
2285,409.2961105376162
2286,393.19799923032406
2287,661.2583443755284
2288,479.80684609356103
2289,474.858213346306
2290,475.0919219906791
2291,457.3941466587712
2292,412.7050020164461
2293,537.0749869398423
2294,546.2496565050969
2295,490.02145902704797
2296,535.515899436723
2297,405.84732410388824
2298,634.9870270933025
2299,444.7359413912636
2300,571.047991499654
2301,367.16114987502806
2302,580.4631407809211
2303,475.68197239015717
2304,446.6099351957382
2305,367.99917313692276
2306,512.8272169211414
2307,528.5087604264845
2308,517.4068526277551
2309,488.25757751837955
2310,618.0532590202347
2311,663.8995481574966
2312,405.4314823646564
2313,531.4906014071312
2314,502.5126653315965
2315,633.476093034551
2316,665.8489774010377
2317,498.2537486910587
2318,495.11711076193023
2319,390.09312465423136
2320,512.9662479419494
2321,432.64509825676214
2322,617.7453276279266
2323,624.3197685020277
2324,533.4258771326859
2325,598.4065879267291
2326,527.9607776006742
2327,500.08644447880215
2328,443.71653868875
2329,445.8218044397654
2330,450.3927352518076
2331,482.50428202736657
2332,600.3567822088371
2333,483.878920191637
2334,436.605498038989
2335,514.0769314559293
2336,385.5459029065969
2337,475.042282002687
2338,512.440880597569
2339,433.3178310887888
2340,505.0560737363412
2341,389.474357481231
2342,544.6414920617826
2343,631.8656843563076
2344,506.53524294903036
2345,506.82306007220177
2346,474.27523621881846
2347,359.6172129487968
2348,358.00638292275835
2349,435.08075366189587
