,pr
1981,571.4103723013977
1982,389.66198361335955
1983,548.8166278737481
1984,528.5021168149644
1985,494.8955945648777
1986,397.1383204385347
1987,379.7850385815764
1988,483.2791518594604
1989,502.605918548943
1990,545.1571459034312
1991,341.03081066750747
1992,510.48642524729075
1993,545.402244134857
1994,473.3859747626411
1995,391.0137672093697
1996,496.94582307638484
1997,471.0002304378577
1998,366.61056880002434
1999,520.4204104615201
2000,408.4344971819519
2001,674.9009535942605
2002,490.7671339045919
2003,375.3237216351408
2004,523.6422210833553
2005,505.2165630644595
2006,461.51292518707123
2007,478.50445064905216
2008,474.3746987074701
2009,569.4035969019751
2010,674.1544467571657
2011,423.95044706745466
2012,335.93335551377095
2013,313.18032624853913
2014,469.2772781585518
2015,451.4429729690164
2016,349.16412589554966
2017,362.0455723619216
2018,498.7614776167902
2019,558.1007928398321
2020,462.13106516370317
2021,458.61619919414807
2022,380.73244290499133
2023,339.4708470635578
2024,455.2748723901459
2025,489.8611892524059
2026,409.0816627798631
2027,494.85412972207996
2028,362.6481906398112
2029,559.0293096511232
2030,451.4636093063018
2031,666.6664971264254
2032,444.90819168204325
2033,420.4452227843376
2034,476.71037826348766
2035,513.7751454785757
2036,593.7471373119479
2037,514.0999282091798
2038,403.6110443564212
2039,406.6755222691427
2040,633.080428163521
2041,585.2232423359055
2042,624.391314993818
2043,547.0939808888943
2044,592.5817808913052
2045,851.3005651780986
2046,681.3514263972052
2047,301.90169079724
2048,592.3581150454993
2049,421.5719980900758
2050,621.8320634132397
2051,375.9207818222876
2052,403.68607131276804
2053,516.8490635842318
2054,574.604327292036
2055,499.6458662470104
2056,341.6615798139901
2057,694.2657722938748
2058,340.5490562381601
2059,380.7089341725714
2060,399.74994988006074
2061,337.71597246195597
2062,422.639697665727
2063,430.34944977644045
2064,749.4213410945122
2065,383.0345874625891
2066,345.0603452285577
2067,423.3800534202601
2068,430.39574431195433
2069,498.7051827774849
2070,507.5838322372874
2071,482.31263957659394
2072,429.7918346557708
2073,458.44525176421485
2074,551.7624598582643
2075,478.4085741350282
2076,502.64554533860064
2077,314.04049754564767
2078,377.49851325811505
2079,438.60196997902676
2080,419.7820140972908
2081,509.39592598929266
2082,423.7154125345114
2083,331.2725973319175
2084,493.5929814233532
2085,503.8784563119407
2086,278.3415127898479
2087,474.35571233390874
2088,457.07692219802993
2089,512.5925665306568
2090,610.8920284183114
2091,507.5506384273467
2092,367.513463002615
2093,564.273180103919
2094,418.9488058065763
2095,550.3137645013339
2096,599.573913369386
2097,571.062336419709
2098,368.5033051015125
2099,456.72649860352976
2100,413.95584026977303
2101,532.7202127133205
2102,397.1518947113509
2103,471.3266392609512
2104,419.2630787454618
2105,482.08803757370333
2106,393.7135512514942
2107,476.05117529165
2108,520.2047435297573
2109,472.82805486320285
2110,374.90857425145805
2111,646.61419611366
2112,666.6355864585057
2113,563.6290643171378
2114,408.63242954710586
2115,354.5150327787269
2116,445.7002322127664
2117,330.25621190827223
2118,433.05900783552715
2119,491.3873965597304
2120,480.07698772780714
2121,334.17101228405954
2122,394.19541240276885
2123,382.92124888630497
2124,570.5616140267011
2125,370.72385558640235
2126,494.8680348476046
2127,516.2515938351135
2128,510.1764629448098
2129,637.5281098109099
2130,476.71932661223764
2131,471.6295052096939
2132,681.7345410717508
2133,423.9241566265264
2134,558.6113582903067
2135,319.1336213509203
2136,545.4160613879139
2137,477.2504519483846
2138,481.02596637399984
2139,607.1882577346514
2140,447.50584375354947
2141,427.56866280847703
2142,562.6595282676135
2143,518.554375421445
2144,326.78219649442326
2145,529.3485927650181
2146,549.7084447430097
2147,425.0778078323492
2148,535.1054212625968
2149,491.96536670006026
2150,639.5377646334964
2151,534.0488863475912
2152,665.1155155195738
2153,391.10142161662225
2154,642.798588867845
2155,522.3492713643282
2156,746.5979839464126
2157,708.0311052264733
2158,429.44021417461045
2159,460.39097100510844
2160,340.10514502115257
2161,549.4328758199117
2162,363.4968302434572
2163,352.39481632688694
2164,385.53407098097523
2165,381.8831460956062
2166,311.5662890137173
2167,413.07567990043026
2168,532.1537542837177
2169,680.2021187671926
2170,515.4524648811275
2171,347.86684131649963
2172,370.5647831502574
2173,363.57458969614527
2174,457.7939852460986
2175,508.2857111665362
2176,399.9931399401248
2177,494.1122884159995
2178,376.47437438699853
2179,406.85787838237957
2180,562.6639453177631
2181,466.0369759221794
2182,409.8363204218913
2183,365.6578980355789
2184,623.1614177620031
2185,554.4411256163585
2186,485.5761446775432
2187,380.35247072475613
2188,454.24825362288175
2189,640.143967232143
2190,449.6773537444824
2191,516.1093921392421
2192,504.6598046217696
2193,685.5559557345259
2194,422.71987455915223
2195,581.9762366929353
2196,457.08029478773824
2197,521.3019570175675
2198,486.3143407348616
2199,611.3828423851373
2200,430.846192170884
2201,460.6922811588447
2202,364.9269959630942
2203,397.0824755699141
2204,397.11159165435674
2205,435.08394809032325
2206,618.584074791579
2207,463.4628131851059
2208,380.7212381732825
2209,512.4094861988851
2210,628.813930344495
2211,443.1686663076107
2212,488.8161630326067
2213,548.2487106492044
2214,372.4604175782588
2215,419.93918816006044
2216,509.44006538647955
2217,409.58940632153826
2218,704.1774601346333
2219,400.3156770876558
2220,429.36863968243415
2221,523.5676553224039
2222,542.6359532419156
2223,498.4007257167832
2224,596.4849142619641
2225,543.3935162545822
2226,523.1682762778291
2227,456.47404914670915
2228,401.36207210580324
2229,459.79620406369577
2230,358.43534692103276
2231,555.2913354516932
2232,438.81515670400404
2233,376.04978990202653
2234,623.0840903612261
2235,598.4926540288143
2236,627.9305777199625
2237,447.3553007810551
2238,572.3947965852858
2239,475.908743348009
2240,407.284911475017
2241,496.7269642319934
2242,505.469329701009
2243,475.2069792983093
2244,555.6421729092108
2245,540.9111993609258
2246,630.9641767136782
2247,386.5614324626222
2248,507.66498215671163
2249,407.0522147711017
2250,371.38905017673096
2251,631.6295391614403
2252,452.93668010490364
2253,442.45244186895434
2254,443.42694131810276
2255,408.88026218781306
2256,450.2018418141233
2257,540.6188939054118
2258,447.93968512531137
2259,488.16817479182646
2260,490.56103564216755
2261,527.9273098056365
2262,533.8504800987721
2263,630.5496320412203
2264,504.44009176499094
2265,432.65327310728026
2266,417.66090662786155
2267,533.7692977256665
2268,320.3678811018108
2269,521.6810991389139
2270,455.31870686245384
2271,461.86448304215446
2272,311.64202492436743
2273,461.6138694284018
2274,595.0422434965731
2275,456.1411134023274
2276,400.7296938008949
2277,452.8059486858183
2278,528.3829560292361
2279,541.3985891991615
2280,511.24988659867086
2281,596.8032062170096
2282,358.4857045440003
2283,407.9774673402426
2284,350.63992029863584
2285,512.7924806650299
2286,747.657607938163
2287,474.8309189260908
2288,363.34615726377706
2289,455.77079937356757
2290,644.0792435231401
2291,550.1901451778394
2292,599.1261845621921
2293,610.8261198291075
2294,369.7069183814165
2295,428.0136989271796
2296,462.4244020549668
2297,543.1109152748832
2298,545.7176040068589
2299,493.3220089689712
2300,619.4992334014387
2301,626.7698181953165
2302,500.28452948135964
2303,630.003964079333
2304,686.9744052095484
2305,422.226860691444
2306,339.56449210090796
2307,566.8508879513865
2308,650.8178215602129
2309,479.54317637559143
2310,477.5996527001553
2311,584.2538077213248
2312,480.6559716380434
2313,486.5366844271193
2314,562.9571592479806
2315,428.4538870186225
2316,490.6158355985099
2317,444.8122481291648
2318,622.9345266670862
2319,486.5013894696858
2320,366.4723726094053
2321,415.33305734265014
2322,601.9587163949836
2323,546.7417639461019
2324,392.8862981646489
2325,632.3311816375281
2326,527.7096979722945
2327,406.65209984126705
2328,611.3381351700809
2329,470.16643265951643
2330,325.0475974935398
2331,435.2944045167533
2332,398.83081493114787
2333,524.2479895452561
2334,527.2686187061481
2335,393.8712602990563
2336,470.94194724086265
2337,529.4049110605556
2338,485.856535948551
2339,583.5139162679525
2340,394.08321198661724
2341,496.515472586907
2342,569.2816705821315
2343,493.5338902534568
2344,481.7538502986281
2345,321.32962917025907
2346,463.89596232329495
2347,324.7046907472395
2348,488.7116536895519
2349,317.06199606542214
2350,390.9344966149547
2351,617.4179681889655
2352,514.4288082342428
2353,601.5880532300798
2354,539.29356025983
2355,527.2971963138843
2356,690.4976738610458
2357,419.3548869832739
2358,445.9401734373387
2359,448.3048026691904
2360,482.4910855393682
2361,367.01640091632726
2362,406.1264519012184
2363,474.3819269546293
2364,464.31997811005203
2365,471.16470513501554
2366,573.7553319355357
2367,572.431236745615
2368,448.9458637581265
2369,437.3423951411496
2370,639.8923254731926
2371,545.8582704171931
2372,481.6434256656066
2373,676.1535797173565
2374,395.8081351861438
2375,371.38832793498295
2376,346.6238585435349
2377,475.6729266484399
2378,472.46213183643704
2379,700.347387023794
2380,654.9694476292643
2381,395.6406750155111
2382,357.2946605409925
2383,490.756494008383
2384,613.0472359451232
2385,594.4859198290942
2386,523.9661515708576
2387,413.7097943937988
2388,469.3212486730772
2389,489.4958372198744
2390,653.0385149753783
2391,449.8145608811683
2392,565.6419436410943
2393,471.20603822804696
2394,328.49445572528566
2395,578.6414547375898
2396,449.777412810181
2397,559.4084099480824
2398,478.4061608836055
2399,521.9750331376417
2400,582.3927711964643
2401,523.7888018971717
2402,505.0265039339138
2403,582.6472762168123
2404,769.4860823699855
2405,329.9956720453338
2406,490.32569775226875
2407,506.21325653919484
2408,473.66844001444406
2409,589.78551433338
2410,351.78495892214414
2411,409.95359466514856
2412,587.3793401534385
2413,516.85461918496
2414,449.3717267992906
2415,417.6046739996309
2416,379.98698695228086
2417,378.01352540409425
2418,754.8653280702638
2419,506.8127309956253
2420,547.9278438520851
2421,440.6980792293325
2422,481.13362251351646
2423,434.2572931593452
2424,752.008831963758
2425,488.74256647668517
2426,439.3021392701485
2427,419.09041357994283
2428,407.16270472403266
2429,564.9165740418539
2430,531.7110083247826
2431,459.6940090737917
2432,516.2450346234436
2433,495.286302902241
2434,524.5247930637561
2435,438.8946404844319
2436,611.6794965651934
2437,490.7914931034611
2438,361.03633634203334
2439,585.4776854914235
2440,532.2618782316567
2441,401.43048023746815
2442,398.75786062402767
2443,406.4973200969689
2444,498.9159729297171
2445,563.6984404726718
2446,507.31484221760184
2447,638.2218301250759
2448,437.29445906719775
2449,469.30726069440425
2450,326.0047380539618
2451,516.1044839054739
2452,538.6899227298272
2453,551.6687507398728
2454,432.6652092009681
2455,608.3215943479445
2456,549.9699166277424
2457,369.47050547314575
2458,576.1734558256649
2459,435.85935079536284
2460,534.7868467277294
2461,480.14544250181643
2462,392.3505098955502
2463,740.5259008500877
2464,592.1319857698109
2465,595.2715370749502
2466,418.27075923183656
2467,345.70753314574176
2468,593.988214739511
2469,448.9426565800386
2470,426.85731946221495
2471,330.49597558366435
2472,466.06992073066067
2473,414.68493324136944
2474,315.10523278839173
2475,404.7744230743774
2476,330.77503427384727
2477,436.94633349587093
2478,362.74416493724857
2479,432.31655739182315
2480,558.7282551045064
2481,572.0377501093935
2482,462.2211308564166
2483,477.6230106675939
2484,492.92002022702945
2485,849.5066742345443
2486,516.6382780829736
2487,645.4990887228632
2488,575.0366266820492
2489,565.0254269857669
2490,459.780508487529
2491,416.92393548582913
2492,456.4284332875104
2493,368.1634073782334
2494,612.8182256783475
2495,522.9892501244649
2496,387.56117219763837
2497,681.6266474434087
2498,563.0510859037713
2499,458.89169240999763
2500,346.57190215439186
2501,465.59536457222066
2502,494.2600014841446
2503,397.2720598885644
2504,343.59928192861844
2505,545.5945920639806
2506,383.2625761775489
2507,557.6048414277466
2508,419.30184037046274
2509,503.51102896274824
2510,331.9909545540213
2511,479.460190897953
2512,631.5603428836766
2513,383.8634942801036
2514,352.1962116185023
2515,557.8056659276626
2516,746.5186694083968
2517,533.8362968381261
2518,536.1690541888947
2519,385.46743432525545
2520,455.38703647271177
2521,446.3134538571353
2522,365.4644000536791
2523,383.01037117435044
2524,409.8531255058333
2525,425.5044080258813
2526,418.86136588436784
2527,373.26710404086043
2528,339.69204889381217
2529,400.13620174204334
2530,347.149703420655
2531,484.3871440163639
2532,537.536913662916
2533,347.8235235786997
2534,390.0478519652097
2535,469.8629972685012
2536,336.5996751781495
2537,407.2943758805195
2538,445.42715909956314
2539,405.2267178341026
2540,490.99311740392295
2541,358.24718685144035
2542,246.71553729713196
2543,528.128487037975
2544,552.2958412642765
2545,557.2519804773037
2546,451.6153304040927
2547,390.2253118380031
2548,427.32067716278834
2549,398.1501550977555
2550,508.2388583839929
2551,555.6455339083186
2552,396.5385558978596
2553,317.1521808161742
2554,506.0051254033169
2555,534.4250823543916
2556,710.5374728518655
2557,317.84498160159274
2558,584.8107790823633
2559,430.1847298054781
2560,499.46779099436753
2561,474.53366997388
2562,577.3828321289329
2563,431.639310767423
2564,387.5319044040225
2565,451.9415970753471
2566,447.96294695952383
2567,374.28295687641366
2568,625.1287338927796
2569,495.20650213853514
2570,491.2862935590965
2571,768.6100827278551
2572,633.7992909961031
2573,488.12873820097593
2574,498.1470667218673
2575,561.2144430917397
2576,443.54391600572853
2577,473.7659603408247
2578,369.8701475654161
2579,505.4560977904657
2580,632.2769828453602
2581,425.974538625087
2582,395.80247815047187
2583,480.31735951126393
2584,586.0774392273015
2585,541.0767860485066
2586,487.3593526383047
2587,518.7751751229371
2588,596.0004102278617
2589,397.63184547628043
2590,459.64529158218284
2591,444.9551316887664
2592,598.948751912576
2593,607.121384407219
2594,635.4040360526596
2595,491.0147440597939
2596,382.3912673484301
2597,403.6920953689787
2598,493.56852178898407
2599,422.8615822523352
2600,585.0065257058304
2601,483.95483702861384
2602,556.3679810948088
2603,515.3547806312417
2604,428.0210226555937
2605,409.84551307446964
2606,608.5872484847641
2607,402.47203759681724
2608,266.13581718088426
2609,537.8712701312907
2610,497.57386078490526
2611,302.3356307778158
2612,374.7226143234002
2613,410.870829394662
2614,451.91103797587857
2615,422.69953362992965
2616,429.00205116366124
2617,487.2913724699174
2618,438.71468393735995
2619,428.23047758170105
2620,494.4009851969895
2621,331.9095015158382
2622,635.0258241604934
2623,560.3266109923425
2624,433.7829642336146
2625,470.7744108964107
2626,499.4659929165209
2627,397.25757921114564
2628,430.9681590013497
2629,370.31075630111445
2630,440.64778408142047
2631,398.1359236575372
2632,443.47855861342396
2633,590.4137304499727
2634,406.51796983220265
2635,408.0319081647758
2636,535.0618134503748
2637,676.7076480013202
2638,411.7647739003587
2639,466.7817778998142
2640,551.0387914313469
2641,494.30535694773425
2642,448.1505560728692
2643,457.79017252789345
2644,461.0615404712007
2645,701.9321036528709
2646,359.8080093986937
2647,528.8741763055441
2648,443.64957381767454
2649,440.75587935367366
2650,460.3318443414537
2651,465.38416935582063
2652,452.83412374119507
2653,554.1785584002355
2654,411.26151438629677
2655,541.6180643749612
2656,420.5405105412865
2657,438.92078517601476
2658,437.34817413351266
2659,520.3370894163527
2660,619.9384472854533
2661,716.2225959031275
2662,688.2740012195427
2663,540.1367053651029
2664,363.9809029942626
2665,535.9541867568623
2666,761.1551780501031
2667,561.183972247818
2668,509.45516906358534
2669,487.9407876314872
2670,599.388489084231
2671,432.9203947811038
2672,385.39140564389527
2673,329.0891972508689
2674,401.14332657180967
2675,395.1755161724577
2676,480.83536881708824
2677,518.0010707910697
2678,367.352354245304
2679,462.18009856056597
2680,413.57259329306544
2681,628.0389716945137
2682,494.7460562669221
2683,552.699503463009
2684,450.66891590322484
2685,396.38785667357297
2686,542.6188034603911
2687,456.37854954820796
2688,561.4882192951882
2689,518.7298791099806
2690,484.6168767948541
2691,480.41259875590185
2692,531.2904107559007
2693,629.892707565341
2694,400.35429374911473
2695,450.78803405631334
2696,440.98122488867375
2697,537.1151861087128
2698,326.83424850110896
2699,485.35440975210804
2700,382.66220064033405
2701,611.7789804547101
2702,514.4857794071868
2703,380.3197270623059
2704,253.63288328699127
2705,406.4077242052008
2706,400.97152173948416
2707,367.92298059590394
2708,453.4162757849117
2709,544.5959512959234
2710,437.86407212919585
2711,435.59752449855296
2712,577.2316243179375
2713,456.5303155055517
2714,587.4883113570831
2715,430.6493491920264
2716,452.9808212762873
2717,358.1757247880887
2718,474.40779133048636
2719,423.37092614407084
2720,275.2848210177035
2721,414.75838820042554
2722,424.70352468717465
2723,435.85986742182286
2724,497.9105086364143
2725,504.9200747625946
2726,704.2704247018264
2727,519.4575453133439
2728,368.1199093181931
2729,547.8131717158249
2730,349.78824318168336
2731,455.20121889785514
2732,553.8507944763296
2733,566.9230430387188
2734,454.7302366056101
2735,478.6751895402631
2736,362.12600559670136
2737,593.7267580698972
2738,439.91177919888287
2739,534.2923475000134
2740,430.96467300056247
2741,447.4730494654068
2742,408.56763613082876
2743,377.65603510642904
2744,492.1958539089246
2745,490.2883461139936
2746,501.33918798128434
2747,390.47077666145924
2748,402.629988229819
2749,444.87901302309183
2750,379.926111433997
2751,388.15713541425794
2752,527.0328078411694
2753,419.7976125162313
2754,773.4442079585278
2755,362.6426881986845
2756,379.89854724255565
2757,550.1606574231118
2758,254.88027351348137
2759,438.3539490401745
2760,301.642554418504
2761,575.1511944341473
2762,476.36432320068707
2763,428.67857753735734
2764,547.979469575148
2765,391.8605274462607
2766,531.0353558794304
2767,432.4492847565125
2768,619.8048937776548
2769,419.4019157956063
2770,586.1345270797756
2771,372.1276993135689
2772,548.0673026495424
2773,442.12808175325335
2774,508.3949340642448
2775,938.4114362110267
2776,568.3083783652364
2777,403.4069164641551
2778,318.8794799905736
2779,397.13644331131945
2780,548.4570313208678
2781,709.6451913959754
2782,444.6550277359165
2783,458.26507789461175
2784,542.0824050321244
2785,515.5585424643505
2786,618.8005981852257
2787,618.9776902676385
2788,583.0492185079493
2789,596.2081793686593
2790,671.0345039783874
2791,560.4201454646955
2792,334.9546610334073
2793,636.5863906070445
2794,460.9043679554816
2795,330.9603832544781
2796,400.5373128766223
2797,336.65398738630756
2798,458.0792031083547
2799,389.03888787535834
