,,pr
1996,True,180.8594265996362
1997,False,256.22230398876127
1997,True,144.3716951063834
1998,False,210.89452672895277
1998,True,239.25983587978408
1999,False,232.6272575162875
1999,True,199.50277722382452
2000,False,230.11538208666025
2000,True,157.24358126608422
2001,False,244.92647416773252
2001,True,172.19339279690757
2002,False,189.60038785880897
2002,True,220.3457982148393
2003,False,295.5350972857559
2003,True,124.2860094513162
2004,False,235.56565953913378
2004,True,157.78063240722986
2005,False,308.7757248445996
2005,True,283.63202985492535
2006,False,154.86264131395728
2006,True,180.375948746223
2007,False,346.8125610728748
2007,True,241.22218893753598
2008,False,430.8634472967242
2008,True,227.81173362163827
2009,False,332.14569067640696
2009,True,178.67137649736833
2010,False,233.26077036908828
2010,True,161.07344786287285
2011,False,219.6887663245434
2011,True,120.72687558975304
2012,False,106.66940576629713
2012,True,143.72193924500607
2013,False,158.74218830867903
2013,True,237.81580594950356
2014,False,307.899318994896
2014,True,194.03292857095948
2015,False,192.07237914815778
2015,True,195.96868397056824
2016,False,227.4558522098232
2016,True,177.26105164038017
2017,False,356.81395679712296
2017,True,182.73714045644738
2018,False,276.4933014215785
2018,True,151.60219849385612
2019,False,282.5388573415694
2019,True,228.40261441888288
2020,False,447.8123534208862
2020,True,291.8712500890251
2021,False,196.7517486125871
2021,True,345.7146219938295
2022,False,348.5114895243896
2022,True,176.17165290866978
2023,False,305.83494484308176
2023,True,172.72450518939877
2024,False,362.35777141700964
2024,True,300.51464737043716
2025,False,220.69377589796204
2025,True,186.06286666581582
2026,False,212.0303405507002
2026,True,131.8580466489948
2027,False,231.61228499666322
2027,True,184.80969450756675
2028,False,207.7630848660192
2028,True,138.48128982499475
2029,False,217.05521793774096
2029,True,162.77069072675658
2030,False,302.07291351252934
2030,True,118.49685771085205
2031,False,275.27159009187017
2031,True,215.54908359576075
2032,False,270.96645909477957
2032,True,181.54747745138593
2033,False,251.11863684287528
2033,True,263.63546369830146
2034,False,238.1225245524547
2034,True,170.3887086812756
2035,False,180.0194424635265
2035,True,305.2411267912248
2036,False,428.83466866478557
2036,True,138.78672898281366
2037,False,404.47804428404197
2037,True,170.78797151043545
2038,False,178.09524947369937
2038,True,170.3233775740955
2039,False,160.6536452716682
2039,True,207.18690493813483
2040,False,381.86187268292997
2040,True,316.3590005831793
2041,False,313.186157940072
2041,True,143.28711863417993
2042,False,195.04597516497597
2042,True,231.28074376727454
2043,False,180.88512633985374
2043,True,286.45173102559056
2044,False,228.6053627030924
2044,True,148.82406533215544
2045,False,262.57137168722693
2045,True,230.74625383451348
2046,False,323.88007176923566
2046,True,207.98209466447588
2047,False,204.11852185497992
2047,True,130.19232650549384
2048,False,256.22433982862276
2048,True,265.2380541039747
2049,False,357.060534406628
2049,True,292.1446801337879
2050,False,431.00635826122016
2050,True,231.1183841287857
2051,False,369.25334952247795
2051,True,251.53977286390727
2052,False,186.09141349952552
2052,True,233.1928188825259
2053,False,137.57737674968666
2053,True,138.64878362801392
2054,False,348.425369359029
2054,True,166.97132065382903
2055,False,337.05929566640407
2055,True,245.87721419229638
2056,False,265.2626574912574
2056,True,137.02024791855365
2057,False,248.64305714290822
2057,True,194.52122632646933
2058,False,354.78619825589703
2058,True,214.44481169746723
2059,False,239.21565966156777
2059,True,299.741181297577
2060,False,405.22571341280127
2060,True,154.13617172744125
2061,False,131.38052447829978
2061,True,288.3896226907382
2062,False,198.0945973744383
2062,True,233.34723774169106
2063,False,216.04810716526117
2063,True,333.4239021758549
2064,False,294.71941084957507
2064,True,253.65728139295243
2065,False,348.0142613290809
2065,True,131.15028000902385
2066,False,133.87664667097852
2066,True,199.54363322613062
2067,False,206.0648361541098
2067,True,286.26255906710867
2068,False,433.2687455244013
2068,True,220.90254487047787
2069,False,142.03414179719402
2069,True,141.92396734433714
2070,False,237.95189916563686
2070,True,147.00616983755026
2071,False,246.70061013603117
2071,True,126.44543574060663
2072,False,201.99017691993504
2072,True,257.13697760074865
2073,False,289.2379209413775
2073,True,187.9191186890239
2074,False,253.74248821899528
2074,True,265.8937583793886
2075,False,331.8607372173574
2075,True,241.60406405862886
2076,False,428.37602479266934
2076,True,224.482331040781
2077,False,248.22902796731796
2077,True,291.78321590297855
2078,False,355.62465628318023
2078,True,210.62139540736098
2079,False,273.68310666497564
2079,True,110.56711120472755
2080,False,300.8188039792003
2080,True,160.61036151004373
2081,False,468.9707638055552
2081,True,259.60608915629564
2082,False,272.0663738407893
2082,True,273.0481522754417
2083,False,182.65542467997875
2083,True,197.25044710503425
2084,False,376.0221131000435
2084,True,237.4560010015557
2085,False,263.4655204281444
2085,True,102.67748705518898
2086,False,186.1111766716931
2086,True,170.1266582487733
2087,False,208.5201842841343
2087,True,159.36671490999288
2088,False,307.9182854213286
2088,True,233.38084757560864
2089,False,190.64682380994782
2089,True,286.5079415285436
2090,False,360.31469485606067
2090,True,193.49666494235862
2091,False,269.6146279711684
2091,True,241.67860607849434
2092,False,216.63768973667175
2092,True,138.6041073637898
2093,False,300.69797413016204
2093,True,240.44852920342237
2094,False,151.0090867515828
2094,True,226.9198258742108
2095,False,295.547217989224
2095,True,198.4810492111137
2096,False,341.7850784724578
2096,True,337.55105549498694
2097,False,141.9491459200799
2097,True,238.0552338087
2098,False,289.99587148282444
2098,True,171.67088192654774
2099,False,77.87404224618513
2099,True,179.6445674757706
2100,False,296.5983005531598
2100,True,253.599883482093
2101,False,291.2400387955131
2101,True,275.77641233074246
2102,False,166.09009301610058
2102,True,266.43155740894144
2103,False,200.41950922823162
2103,True,222.32514053903287
2104,False,194.7729725186946
2104,True,177.23101729061455
2105,False,306.32435716252076
2105,True,134.7287817246979
2106,False,233.63148641365115
2106,True,166.76818956548232
2107,False,243.53190922702197
2107,True,127.32295451387472
2108,False,286.90204730664846
2108,True,173.44801196304616
2109,False,195.959143825894
2109,True,159.9983664105821
2110,False,249.6956471724843
2110,True,179.65733238088433
2111,False,216.55249607283622
2111,True,262.32717315651826
2112,False,337.7017008868279
2112,True,330.8934861270245
2113,False,250.18510237714509
2113,True,202.69737483467907
2114,False,164.8237476198119
2114,True,219.83800838934258
2115,False,267.9213670679019
2115,True,277.34656099928543
2116,False,297.77711184869986
2116,True,246.15492849625298
2117,False,237.59462511370657
2117,True,390.8377315266989
2118,False,210.52436165045947
2118,True,168.52675281552365
2119,False,174.1774917463772
2119,True,192.2869723630356
2120,False,198.9852415106725
2120,True,155.91915737459203
2121,False,178.13983014493715
2121,True,218.0374644951371
2122,False,224.1136217417079
2122,True,267.5618750465219
2123,False,250.23655926052015
2123,True,170.63139027741272
2124,False,270.5694471602328
2124,True,308.60067063040333
2125,False,296.74485957075376
2125,True,188.33274918724783
2126,False,339.12464932218427
2126,True,207.0626851724228
2127,False,319.23511505301576
2127,True,275.7322878576815
2128,False,239.53284693416208
2128,True,338.0136653169757
2129,False,185.70763867901405
2129,True,240.19331337476615
2130,False,346.0751746140886
2130,True,123.21070807229262
2131,False,252.75889756449033
2131,True,118.76792079783627
2132,False,158.95179677463602
2132,True,171.73042272333987
2133,False,240.47475272091106
2133,True,234.576025113347
2134,False,224.2298076103907
2134,True,171.84219161063083
2135,False,390.5981718489784
2135,True,240.00780292626587
2136,False,270.5326790252002
2136,True,133.90598193072947
2137,False,280.96303768688813
2137,True,242.13620713053388
2138,False,239.84775659482693
2138,True,283.8745396351442
2139,False,143.86586479959078
2139,True,154.04717312485445
2140,False,366.2005803140346
2140,True,170.81236269150395
2141,False,267.53900569165125
2141,True,149.84164528505062
2142,False,279.13774143671617
2142,True,227.3916832273244
2143,False,340.98939145042095
2143,True,167.3840017640032
2144,False,354.19824548007455
2144,True,167.59646061400417
2145,False,257.82786186318845
2145,True,88.19309082173277
2146,False,289.30158386647236
2146,True,97.94238025933737
2147,False,200.25089410337387
2147,True,161.4382028026739
2148,False,245.31447490153369
2148,True,131.85204513429198
2149,False,330.3782756847795
2149,True,231.26709593343548
2150,False,219.99597788162646
2150,True,376.496026822133
2151,False,151.88415164739126
2151,True,343.7869221990695
2152,False,250.12038627901347
2152,True,200.4084351559868
2153,False,187.43173873226624
2153,True,177.89690326026175
2154,False,282.0208748205914
2154,True,209.63611480401596
2155,False,242.38078151101945
2155,True,183.57714569137897
2156,False,331.39184059473337
2156,True,330.4787830071291
2157,False,162.21362448486616
2157,True,273.75224349671043
2158,False,121.98208690788306
2158,True,211.73653914156603
2159,False,317.5568547245348
2159,True,214.36890120094176
2160,False,198.6033262743149
2160,True,333.4882613620721
2161,False,227.19446515257005
2161,True,203.5730063536903
2162,False,192.70089368219487
2162,True,88.97940835595364
2163,False,219.1810568474466
2163,True,269.2013885869528
2164,False,296.1493967930437
2164,True,280.7365442698938
2165,False,346.17240733641665
2165,True,151.35019867375377
2166,False,361.24504485342186
2166,True,382.67319554288406
2167,False,227.7049369251472
2167,True,219.04612182697747
2168,False,362.6881785748992
2168,True,265.033564184705
2169,False,216.78812390455278
2169,True,472.1020939468872
2170,False,226.4510784560116
2170,True,272.6816723399679
2171,False,251.9803294664598
2171,True,264.4475858185615
2172,False,257.8783723642118
2172,True,140.3888669621665
2173,False,187.0762302824005
2173,True,165.69649205775931
2174,False,368.0953048700758
2174,True,166.8858243181603
2175,False,275.77098651527194
2175,True,209.05918032804038
2176,False,294.72923218418146
2176,True,290.35709144663997
2177,False,275.619275731151
2177,True,185.35621257615276
