,pr
2047,535.968054458503
2048,329.3008441105485
2049,669.0393780358136
2050,991.2841323763132
2051,546.3950460311066
2052,678.7464554887265
2053,694.674523640424
2054,447.90695873089527
2055,312.4868360348046
2056,638.1077029975131
2057,994.4339134963229
2058,632.0097062503919
2059,623.9466269966215
2060,780.2453907206655
2061,624.9027687124908
2062,923.0705363675996
2063,1028.8124580401927
2064,528.3584648743272
2065,295.1007278636098
2066,850.1633767504286
2067,354.42595803178847
2068,858.8391343597323
2069,567.4497346859425
2070,386.7766614072025
2071,868.847216013819
2072,614.9727871175855
2073,617.5890070851892
2074,707.7129838988185
2075,1041.7571688070939
2076,1148.0237355921417
2077,558.0069134943187
2078,454.5894033741206
2079,840.4207948129624
2080,495.963036082685
2081,770.5407888628542
2082,680.8474285528064
2083,702.251984551549
2084,1113.4217531885952
2085,688.8696441426873
2086,632.1292659267783
2087,824.9057776294649
2088,612.1011244598776
2089,1120.2195235993713
2090,864.6762695163488
2091,1051.4902406372173
2092,707.542672008276
2093,820.5227597616613
2094,618.2660075370222
2095,1018.3393567800522
2096,934.8706332966685
2097,901.4286771649495
2098,528.9783807937056
2099,523.7709633540362
2100,852.0143574569374
2101,425.8225721307099
2102,758.6534507805482
2103,994.5311513263778
2104,491.4943895302713
2105,550.2458989620209
2106,1186.6141845937818
2107,1076.6688294243068
2108,973.9889825228602
2109,1178.660133993253
2110,1038.2452046032995
2111,688.0935985129327
2112,690.0137626100332
2113,915.4203779529826
2114,727.1899037528783
2115,792.8965592756906
2116,638.6491775047034
2117,805.2859961986542
2118,503.66674605757
2119,1252.2963230498135
2120,702.252723835413
2121,646.0363897494972
2122,863.1096239201725
2123,519.5102026686072
2124,616.6679687798023
2125,837.9808927886188
2126,428.55484331958434
2127,935.8688362408429
2128,788.9176185010001
2129,881.0218029655516
2130,1238.3216867689043
2131,1001.317284302786
2132,520.4593463335186
2133,702.591857733205
2134,347.23820029757917
2135,917.968119867146
2136,649.9193449504673
2137,504.7578334808392
2138,547.7414466440678
2139,1191.4032050874084
2140,545.2548301778734
2141,606.7641726695042
2142,863.9207327272743
2143,697.7790079079568
2144,522.4960218183696
2145,746.0491620004177
2146,480.13642081059515
2147,819.081324711442
2148,833.9466735720679
2149,728.814529068768
2150,492.7913574501872
2151,425.25236173532903
2152,772.4153021816164
2153,515.0213188491762
2154,1152.1137619391084
2155,1094.093429390341
2156,608.5615515243262
2157,1079.6482741367072
2158,665.7652017194778
2159,727.4722938425839
2160,839.9147524964064
2161,509.5923639368266
2162,675.0172826461535
2163,1065.7253122888505
2164,806.1304042115808
2165,947.7908081375062
2166,330.64608173444867
2167,582.9825525172055
2168,762.026434019208
2169,723.2355963438749
2170,343.08363560121506
2171,995.3618586994708
2172,651.7611349001527
2173,893.6948797199915
2174,901.2999411905184
2175,457.36249233596027
2176,920.4565392807169
2177,871.6833326965616
2178,854.9697597278282
2179,808.7977642659098
2180,1150.9258308447943
2181,929.6544299460948
2182,745.2537780627608
2183,908.7791559286416
2184,400.96278190612793
2185,486.1841424834066
2186,623.4005294507369
2187,658.5568201029712
2188,947.1299160271883
2189,721.892626862973
2190,412.6275961752981
2191,426.1678554117724
2192,855.250986199826
2193,756.4933406654745
2194,569.648695550859
2195,511.10582761466503
2196,1031.8414938636165
2197,860.9135422389954
2198,1108.7687923572958
2199,773.2323353178799
2200,379.67215923126787
2201,1277.0994907943532
2202,852.6143692899495
2203,854.3292104965076
2204,793.8236602116376
2205,700.0507316552103
2206,714.7683092392981
2207,909.1331534553319
2208,1182.1694780141115
2209,881.9919583853334
2210,629.1363569442183
2211,863.3795417379588
2212,553.6888293921947
2213,978.0127323232591
2214,939.5582009106874
2215,835.0579253397882
2216,485.6740881688893
2217,719.2067388212308
2218,640.5535356374542
2219,656.3505965285003
2220,428.52271464653313
2221,487.4167185276792
2222,855.4119891487062
2223,513.3377997670323
2224,912.7128337975591
2225,762.8389541292563
2226,649.113081721589
2227,342.6533730234951
2228,717.0497857499868
2229,766.3425378967077
2230,654.4167129322886
2231,922.4252798594534
2232,1320.7649958785623
2233,807.2694206144661
2234,702.6646866230294
2235,1500.4979295423254
2236,713.657825672999
2237,462.98797039780766
2238,788.8220792636275
