,pr
2055,784.9223865258864
2056,1295.1214312215143
2057,1685.9549226878528
2058,1165.9794433405182
2059,1437.2349056406392
2060,766.5080267597432
2061,1904.906937999226
2062,1021.5822194461952
2063,1589.5121122142139
2064,1408.0063956227605
2065,1913.7292622662244
2066,939.9045958475881
2067,1141.1406440994283
2068,1751.0542329944428
2069,1561.1300652590216
2070,1159.5644930865774
2071,1562.4363267505219
2072,1633.6015304863395
2073,1320.9711761567632
2074,1499.4483089102516
2075,1836.09543571838
2076,1483.0879538445515
2077,1502.8598370850887
2078,2071.3582892582053
2079,1540.5599610775425
2080,1801.2003907770122
2081,1150.736493738258
2082,1432.2969626795157
2083,1786.131655291831
2084,1133.1187271296585
2085,1416.0104147606035
2086,1930.9188071345943
2087,1149.6107826219486
2088,2093.171819717645
2089,1885.5534404720402
2090,1651.713040096547
2091,1690.1440070408285
2092,1691.0651628597407
2093,1188.5159517951251
2094,1187.368424187315
2095,1391.0991689885122
2096,2083.156167785637
2097,931.2972439124678
2098,1032.1183284262588
2099,1975.124859998224
2100,1097.0804138669337
2101,1563.8199245695432
2102,2716.878697908396
2103,1667.9844071362368
2104,1588.8998094727867
2105,1090.8991420349366
2106,1700.1039649063387
2107,1563.1245774340148
2108,1918.346942304197
2109,1981.0506137346238
2110,2294.97174700864
2111,1538.9246663663528
2112,1208.8555829686811
2113,1169.272456516542
2114,1263.5794388857903
2115,1202.4780321848084
2116,576.5984496823926
2117,964.4675888617712
2118,1530.4232747985225
2119,2107.313627557096
2120,1232.5943105973693
2121,1577.2261688827712
2122,584.4525837540402
2123,1494.6304672527056
2124,1507.2288672345167
2125,1633.9824183968447
2126,1195.106037946607
2127,1753.144563295973
2128,1524.2086946889685
2129,1571.1028627386781
2130,1356.268357885898
2131,1163.7329034520008
2132,1879.6609989118451
2133,1288.6032901146423
2134,1398.1523285334745
2135,1200.9388446818775
2136,1550.70148250079
2137,1785.1351191668737
2138,1291.2921982732769
2139,1218.5318694610032
2140,1315.6617902939615
2141,1588.370183096572
2142,1252.9729439216055
2143,2107.260095994988
2144,1992.4308874853637
2145,2097.2356667289205
2146,1190.8543275114425
2147,1224.1565640858362
2148,1630.985360835402
2149,1273.1331562514242
2150,1321.7485336239406
2151,1466.2849961245229
2152,1318.7051142042037
2153,1797.6202062852371
2154,1445.7025085718897
2155,2637.4955624560243
2156,2099.094118603898
2157,945.5557329751173
2158,866.4069207231023
2159,1732.6926984550396
2160,1885.785514860163
2161,1183.7530463547864
2162,1762.3916002362898
2163,2241.293958219694
2164,1863.4428289951757
2165,1441.0383085630847
2166,1035.7413522929164
2167,1029.9962539716944
2168,2126.2691140025254
2169,1691.430398004013
2170,1543.8322764100121
2171,1520.9242530885604
2172,1422.0042355613018
2173,1104.5661615776837
2174,1807.771674410833
2175,1124.978929691315
2176,1524.7236678284025
2177,2081.6223131007973
2178,1567.3491685513
2179,1532.3797546829155
2180,1159.7347474962135
2181,1901.3054516224656
2182,1125.6293299176377
2183,1226.2165931188065
2184,1494.587919598293
2185,2560.0337057825527
2186,1361.5157892128302
2187,1351.9289659032243
2188,1392.1275589751076
2189,1529.3862200534932
2190,2647.0432047410213
2191,1439.5284230914513
2192,1917.9694865740885
2193,1365.1240410249898
2194,1079.464409438981
2195,1065.0156752947105
2196,1611.1263992643217
2197,1180.548973549594
2198,1848.2741165193147
2199,1200.1477414378314
2200,1622.3923146197194
2201,1131.6169688643186
2202,1093.7481973387548
2203,2107.551419164378
2204,1009.412999838969
2205,975.7243462430779
2206,1248.5721963470496
2207,1321.6813651990833
2208,1129.1370129452844
2209,1672.1583050665458
2210,1146.777653026786
2211,955.7692169336235
2212,1961.3074786365132
2213,977.9162029576128
2214,908.6452145944513
2215,2050.7269126365486
2216,817.3240568346973
2217,897.4087684895494
2218,1113.1808324207668
2219,2240.242362193385
2220,1151.7927666631294
2221,973.6376325011179
2222,1436.4117676723022
2223,1576.8696010504868
2224,1598.9932120712183
2225,936.1555458256589
2226,1713.8191110375283
2227,2394.840508848796
2228,1837.172723603544
2229,1439.5725504444358
2230,834.1484155564103
2231,981.7129265748918
2232,1172.0652099300423
2233,1972.4853345748215
2234,1796.212134088637
2235,1757.1839085096144
2236,1040.213236706586
2237,1132.2700355745837
2238,1910.9291512218804
2239,1371.6961971974342
2240,1573.147154173742
2241,1376.3950840359485
2242,1542.6977211988628
2243,2305.5117169059486
2244,758.0590199788276
2245,1108.3132760205558
2246,1459.5834250170924
2247,2463.311243104363
2248,1546.1991618048132
2249,1246.239065284135
2250,1362.5219060038944
2251,1206.3025089117218
2252,2661.1084325904812
2253,1441.0094036706596
2254,1661.7362448125277
2255,1836.0907107784783
2256,1789.6464705571134
2257,1485.5311624756723
2258,1817.4327712011404
2259,1529.2213033732196
2260,1096.2625766671408
2261,1826.2206917919684
2262,1134.4937312769616
2263,1807.7525130960198
2264,1235.7053372010596
2265,2333.8309819911956
2266,1066.3235999586504
2267,1616.596828725062
2268,2653.2711640575144
2269,913.384416331246
2270,1580.7344289811226
2271,1575.476528419022
2272,1978.7658597508198
2273,1440.4728344713476
2274,1344.4350613683127
2275,1344.3694908071848
2276,1757.94991267544
2277,1606.589312311708
2278,1626.7474514055039
2279,1812.0279218877158
2280,1857.1669804815883
2281,2192.0946843388947
2282,1510.2088001206935
2283,1316.495780428501
2284,1991.314520828314
2285,2378.621327208839
2286,777.3705558641723
2287,2003.5789438431439
2288,1198.9638445228586
2289,1800.6107218605393
2290,1464.2410165828949
2291,1478.516500792466
2292,1831.086503640745
2293,1231.5607312558313
2294,1395.7710403866713
2295,1905.7206082166886
2296,1966.0092115647785
2297,695.3243276178341
2298,1750.5003121437767
2299,1002.3388116188471
2300,1306.4827616868115
2301,1054.5682657284942
2302,1450.008967193282
2303,1378.9954213067176
2304,1079.6735495013309
2305,1789.1981906876197
2306,1485.6544693146134
2307,1222.8475857753438
2308,1443.7515343958466
2309,1972.5052926471108
2310,1475.8225126985622
2311,1599.0341662639594
2312,1508.712947984111
2313,1441.3022840382978
2314,2010.5926999784288
2315,1371.3424298694008
2316,1063.7027914515784
2317,1688.1445428021834
2318,1201.949752045175
2319,1966.9751881501043
2320,1912.3728598116259
2321,1802.2853585105622
2322,1470.7132944767636
2323,1176.1921779091494
2324,1468.2969392815721
2325,1387.1675836257054
2326,1698.257888807234
2327,1540.444286906859
2328,1395.0967134627717
2329,1755.0264164803593
2330,1831.2055092221215
2331,1239.158306894069
2332,1292.3662146058632
2333,1280.5225074138434
2334,1371.4564861224062
2335,1836.8966382452186
2336,784.475270629927
2337,944.2977490060912
2338,2383.4739379211946
2339,2193.460279765381
2340,969.3332476286741
2341,1216.3515867389465
2342,2146.7978940367
2343,1176.774625320104
2344,1440.2249580147327
2345,1187.0269301987719
2346,1838.44278723991
2347,943.9679744666137
2348,2064.641048430917
2349,1508.4268241049742
2350,1437.5597849630594
