time,,pr
1850,False,8.57788547873497
1850,True,413.51724257692695
1851,False,12.970871734432876
1851,True,704.6034365426749
1852,False,71.14177993498743
1852,True,436.1474520061165
1853,False,82.99618153832853
1853,True,478.56982173398137
1854,False,101.74313904717565
1854,True,547.1154982689768
1855,False,63.17391931079328
1855,True,632.8132845461369
1856,False,18.075541919097304
1856,True,333.32118415273726
1857,False,10.192043893039227
1857,True,690.1292832568288
1858,False,38.60961883328855
1858,True,331.468096235767
1859,False,39.81806882657111
1859,True,472.6091821677983
1860,False,62.45753816328943
1860,True,639.0966516919434
1861,False,34.33498148806393
1861,True,512.4256504699588
1862,False,41.9778048992157
1862,True,288.00030746497214
1863,False,76.5332639683038
1863,True,396.35858866386116
1864,False,86.14230332896555
1864,True,502.0994680468037
1865,False,42.838120087981224
1865,True,342.65927975066006
1866,False,57.45014101266861
1866,True,518.0342777632177
1867,False,76.62019394338131
1867,True,402.7613338083029
1868,False,26.16534666158259
1868,True,405.47064570710063
1869,False,51.180661213584244
1869,True,650.0594279263169
1870,False,86.77227438893169
1870,True,515.100847184658
1871,False,45.648518996317605
1871,True,633.9483166113496
1872,False,74.35772381723373
1872,True,648.1413383502513
1873,False,68.68547033518553
1873,True,647.3787142429501
1874,False,52.32636448927224
1874,True,746.5781975537539
1875,False,52.27162730880082
1875,True,378.7146036978811
1876,False,39.8156498093158
1876,True,667.9926237557083
1877,False,77.97126160003245
1877,True,279.4379255734384
1878,False,11.96890636348057
1878,True,277.5699777994305
1879,False,23.19873129017651
1879,True,652.623273152858
