,pr
2175,743.1449414245435
2176,362.26351439472637
2177,469.32853980783875
2178,471.7098786644783
2179,277.15767749450606
2180,444.3678146819366
2181,625.8283951865451
2182,694.544775025679
2183,632.9825686721051
2184,464.94515971535293
2185,727.9838423279216
2186,423.83748062802624
2187,457.7279439297854
2188,509.09108365776774
2189,319.1000926757624
2190,430.15870563649514
2191,566.7281546924642
2192,701.2116444999265
2193,491.2208584115433
2194,619.8268631997507
2195,440.5908729033399
2196,284.5378478306884
2197,420.4630576845375
2198,513.5335021350329
2199,346.3598525753696
2300,541.7313992948039
2301,358.7445728458988
2302,423.2527007741737
2303,494.5021427962274
2304,523.3607653777653
2305,530.6324426495848
2306,526.6458533125387
2307,641.7482284376092
2308,349.7555764788558
2309,487.0787840090088
2310,493.16588141955435
2311,545.5484048385188
2312,460.30450158941676
2313,383.8112848548917
2314,586.6379646446148
2315,442.0824474755591
2316,530.6424661843039
2317,519.075534140211
2318,520.3651569664544
2319,554.7565934037266
2320,399.77513122576056
2321,623.7412203590793
2322,480.53020420793473
2323,589.2134006484412
2324,473.0609473070672
2325,612.9336063244409
2326,436.73848450762307
2327,204.369933290036
2328,421.8890097356052
2329,479.8785902456075
2330,371.4151517731352
2331,340.0024459358974
2332,663.0135609379067
2333,556.8907710432541
2334,593.6799809651347
2335,433.67346006125445
2336,459.98441286537854
2337,612.4406796072435
2338,485.2492715456727
2339,414.8245279729963
2340,496.0206764728355
2341,289.8941295356053
2342,508.4165936710633
2343,418.7248061907667
2344,391.2378358003025
2345,644.1558993839863
2346,571.6400127186716
2347,604.1774661695854
2348,461.4080265520897
2349,471.7498021047504
2350,511.0727905135718
2351,412.6922676397953
2352,429.88307928590075
2353,662.256591968071
2354,372.9299660978768
2355,433.5416168020771
2356,353.29887965548323
2357,486.15880175711936
2358,394.02047335788666
2359,553.837701559678
2360,559.8853022212097
2361,619.1183235029484
2362,417.08565733096066
2363,535.6792959293216
2364,418.6670646910443
2365,339.3955959039886
2366,280.77112093178584
2367,518.5885514893471
2368,442.951559582616
2369,421.8627220572671
2370,483.3135176264477
2371,414.0789358503753
2372,566.3467717642561
2373,404.8578970295239
2374,593.3529477770207
2375,336.57364214554946
2376,640.3941690161446
2377,501.3946128723546
2378,392.00717962085037
2379,413.90897878445685
2380,421.0458242952882
2381,502.99405002078856
2382,410.2346330526416
2383,676.7899987364217
2384,440.0544729673129
2385,627.8327983534837
2386,302.47387901808906
2387,362.95786065165885
2388,674.2150423182466
2389,463.5476109028559
2390,469.86298021656694
2391,410.54154344565177
2392,349.5110500520241
2393,491.10913490317216
2394,463.37338988677175
2395,357.9081145409873
2396,579.4081776618441
2397,525.6084149517847
2398,605.0815619564673
2399,455.217805587381
2500,597.2454708025907
2501,548.9866850362887
2502,384.2716225226013
2503,548.7574766340913
2504,348.01299970695254
2505,579.8997964532376
2506,451.6001340328785
2507,602.7282361581456
2508,354.9714652035618
2509,620.9377111516915
2510,674.7677826533618
2511,351.1260406112797
2512,484.01786704798724
2513,365.18641506991116
2514,482.4785191085539
2515,448.06724099980784
2516,927.6497374880819
2517,594.6289513603915
2518,600.5841470032465
2519,428.8651860872051
2520,478.3070846762712
2521,614.2563499815878
2522,383.05936444244253
2523,328.2337018328235
2524,376.3947589126701
2525,460.41316989285406
2526,405.83244011838815
2527,1005.5823257892598
2528,815.7364317105021
2529,322.8764129722549
2530,662.5584384964895
2531,281.82520393138475
2532,543.606782939969
2533,645.0629061280779
2534,423.3559803446951
2535,404.45938382981694
2536,467.05383061289467
2537,617.0210890208182
2538,456.15527361806016
2539,438.56722490963875
2540,419.1377198201735
2541,502.2230142611079
2542,524.651178430031
2543,876.4346454724546
2544,570.2463134926802
2545,353.04281339813315
2546,502.94241444571526
2547,505.3059857847984
2548,507.4654691258729
2549,467.95912471316115
2550,576.8860520871385
2551,348.9394297227136
2552,767.1318947221152
2553,374.5876835002264
2554,452.5026750205143
2555,444.4425719530045
2556,515.3493994002929
2557,671.5907648893335
2558,406.6855553581263
2559,552.8594274743227
2560,413.6778000440245
2561,498.42924778663473
2562,394.7964611033967
2563,518.8079591265705
2564,552.364070375188
2565,500.80493640234636
2566,377.3043229367431
2567,525.3652546171907
2568,390.85008383099193
2569,517.9422363873528
2570,487.14057958768535
2571,396.09508593157443
2572,333.9481877777189
2573,481.0843467478662
2574,501.27248153148685
2575,433.17054349390673
2576,670.2262102036912
2577,542.7561021873771
2578,381.4214087388791
2579,350.374678148728
2580,379.4964562430323
2581,528.6013428544038
2582,403.9535033804782
2583,429.738337404342
2584,480.8225836566635
2585,409.16243495375966
2586,619.5736406363721
2587,454.0470672236552
2588,360.009535478639
2589,405.1360155630391
2590,523.4464704473794
2591,443.96933062325843
2592,285.315043232049
2593,744.9919644517649
2594,493.4856518575998
2595,441.6268608711107
2596,458.24999361088885
2597,483.58197344714426
2598,419.18627530612866
2599,368.16404887867975
2600,387.46276979709364
2601,369.33060474475496
2602,361.23382646837854
2603,754.2741265522636
2604,595.7113934431618
2605,438.1469860993093
2606,399.0359542524857
2607,374.2207581683033
2608,492.08165835384534
2609,440.52952123238356
2610,333.24020220493367
2611,586.4876926911165
2612,543.9630341017619
2613,434.69524291813286
2614,457.48305022334534
