time,,pr
1856,False,154.84716803912306
1856,True,1005.7315491721965
1857,False,399.1774952497508
1857,True,1527.547593601048
1858,False,354.50805846026014
1858,True,944.8693173704669
1859,False,252.41571858334737
1859,True,1607.0902823717915
1860,False,178.45715420442048
1860,True,1238.7153485091403
1861,False,344.3663835339976
1861,True,2570.500447496306
1862,False,205.2508642722387
1862,True,633.9981244469527
1863,False,342.04106467332167
1863,True,1124.0457620238885
1864,False,365.1121305038032
1864,True,973.0422545748297
1865,False,146.56374015513052
1865,True,1101.0848340229131
1866,False,292.1136089409629
1866,True,1385.9975574945565
1867,False,246.5198795210199
1867,True,1358.4258285874967
1868,False,156.94951147478875
1868,True,1534.9611070007086
1869,False,405.1059047119338
1869,True,993.4369915688876
1870,False,173.58470565038502
1870,True,1581.6083087527659
1871,False,240.39664676820394
1871,True,1533.977048950328
1872,False,65.71182178004165
1872,True,1194.2173635936342
1873,False,196.96881208401464
1873,True,1656.1307959025726
1874,False,266.8405024560343
1874,True,1842.9687706462573
1875,False,168.6257001731974
1875,True,1221.8411661218852
1876,False,238.63851674755097
1876,True,1460.5702464818023
1877,False,361.8792454843515
1877,True,1439.509691647254
1878,False,269.7184117561392
1878,True,1963.4609052620362
1879,False,285.6020543124487
1879,True,1657.8759215015452
1880,False,152.68863667740789
1880,True,1222.1051866421476
1881,False,230.9794136099299
1881,True,901.4165732776746
1882,False,184.92384106903046
1882,True,1116.4270476903766
1883,False,67.58460902019578
1883,True,1167.0646307291463
1884,False,107.42230529226617
1884,True,1053.8248444529017
1885,False,106.05635051000917
1885,True,777.7219461626373
