,pr
2108,396.2912396527827
2109,656.3585010822902
2110,442.16313112992793
2111,598.1965189799666
2112,567.2004589810967
2113,813.9672053977847
2114,1240.3649994637817
2115,679.0217972360598
2116,681.4326509367675
2117,499.8263864312321
2118,608.559928368777
2119,606.2963618896902
2120,913.239632640034
2121,558.2944527966902
2122,619.5880532730371
2123,675.8059815969318
2124,452.54463222809136
2125,618.334406381477
2126,497.19231678172946
2127,374.3017919361634
2128,549.8124472796917
2129,306.4758396707475
2130,861.4477540366352
2131,407.53159057348967
2132,713.8041900470897
2133,539.3742633517832
2134,782.4724971782416
2135,821.9260097946972
2136,482.21546241548333
2137,488.79996514879167
2138,488.92779713496566
2139,347.1644957084209
2140,852.5044762529433
2141,613.9252872671932
2142,393.21312443353236
2143,671.0513981524855
2144,437.13838532567024
2145,545.111449970868
2146,502.43290707003325
2147,1145.5560928210616
2148,716.6408813092858
2149,239.2643127590418
2150,547.1467895898968
2151,577.6448702439706
2152,843.7844276195392
2153,613.6384350713342
2154,909.5481494441628
2155,964.5858965814114
2156,505.4032603511587
2157,352.8415765380487
2158,677.2815469186753
2159,599.5440058875829
2160,751.9327890593559
2161,772.6599309593439
2162,618.5545583255589
2163,547.7750023361295
2164,558.605944016017
2165,528.6289604147896
2166,1024.490764271472
2167,597.3038538359151
2168,568.487516976897
2169,523.9716751500964
2170,617.011847672984
2171,575.8656623074785
2172,770.3124607913196
2173,882.9925966914743
2174,939.7037115879357
2175,656.9318660069257
2176,511.6485889535437
2177,403.01588382571936
2178,306.5800698939711
2179,437.48262631706893
2180,520.886466326192
2181,708.9694848284125
2182,936.024664202705
2183,1014.0645044390154
2184,763.2453836034983
2185,1607.0680773351341
2186,784.2679737601429
2187,455.42254485189915
2188,976.870314963162
2189,459.0694836806506
2190,338.22108465246856
2191,426.18587859906256
2192,701.7277958337218
2193,830.7729857973754
2194,451.6003530006856
2195,374.9452794436405
2196,573.9920133724809
2197,501.8065054435328
2198,798.2610506471246
2199,630.2564889192581
2200,506.7633081693202
2201,444.74887512624264
2202,881.0139134991914
2203,505.5546482093632
2204,395.0246842112392
2205,673.895442020148
2206,482.14727165177464
2207,843.1244099512696
2208,651.9431973807514
2209,767.4363875761628
2210,530.2152611548122
2211,1120.789559232071
2212,837.9150562919676
2213,645.9119134582579
2214,909.3154604779556
2215,1340.6040906440467
2216,346.0930936038494
2217,421.2713935878128
2218,685.5066431220663
2219,661.1833749571815
2220,719.461730774492
2221,374.7955480590505
2222,514.2521191388369
2223,609.1935486998449
2224,285.5321781244129
2225,997.8010076098188
2226,490.65445619635284
2227,621.7281134566292
2228,594.7672112379223
2229,467.57633127272516
2230,502.88292160257697
2231,338.5186313185841
2232,591.1692097317427
2233,617.6777726970613
2234,1143.5570856090635
2235,824.3179664947093
2236,546.5933105209842
2237,788.5968893766403
2238,596.6630380600691
2239,569.760387763381
2240,521.0027652327014
2241,600.8880943525621
2242,381.4131482038647
2243,645.7198278978508
2244,987.054934585467
2245,415.78525858931243
2246,349.4612683542073
2247,451.7666126601398
2248,1414.2839200794697
2249,920.3429070767015
2250,663.7669551651925
2251,545.7434773212299
2252,442.33857966028154
2253,726.4493223745376
2254,1104.000192694366
2255,689.5628396887332
2256,545.4921981319785
2257,433.25899075716734
2258,977.7916663326323
2259,616.0343811381608
2260,636.145287193358
2261,427.74666524492204
2262,764.4986067898571
2263,469.090583268553
2264,492.97202308662236
2265,715.0240071583539
2266,524.3954168166965
2267,429.58571054041386
2268,393.54524770752045
2269,378.5989975556731
2270,702.2905354388058
2271,805.375575274229
2272,875.9107489138842
2273,639.2471933970228
2274,443.09760541655123
2275,299.5544340927154
2276,621.5287765022367
2277,471.1145400535315
2278,734.5813631080091
2279,951.6167089808732
2280,1025.3680873895064
2281,1182.505803136155
2282,721.6812419705093
2283,592.8275705315173
2284,867.031929641962
2285,591.6857390664518
2286,642.163020092994
2287,715.7274696975946
2288,518.5355574823916
2289,820.0819083256647
2290,569.0614413935691
2291,400.2068867906928
2292,684.6770949661776
2293,496.6654035262806
2294,1158.5322985891253
2295,530.7249892037362
2296,1078.4479248337448
2297,365.0245388969779
2298,803.7085970398039
2299,711.721837380901
2300,379.43204913754425
2301,568.4705172199756
2302,729.1923307813704
2303,642.0876596588641
2304,379.27054264582694
2305,719.0219071693718
2306,246.4840759523213
2307,517.5766673404723
2308,491.5504732634872
2309,588.2437465712428
2310,509.5314761158079
